Longitude,Latitude,name
-39.5,-7.972222,Cenostigma pyramidale
-39.142222,-8.138333,Cenostigma pyramidale
-38.644444,-8.883056,Cenostigma pyramidale
-38.644444,-8.649722,Cenostigma pyramidale
-38.341389,-7.341667,Cenostigma pyramidale
-44.333333,-13.666667,Cenostigma pyramidale
-38.341467,-7.924867,Cenostigma pyramidale
-38.411167,-8.883111,Cenostigma pyramidale
-37.822367,-7.9163,Cenostigma pyramidale
-34.7175,-1.466945,Cenostigma pyramidale
-40.472222,-8.472222,Cenostigma pyramidale
-39.138888,-9.361112,Cenostigma pyramidale
-43.328611,-9.234722,Cenostigma pyramidale
-39.351389,-8.36,Cenostigma pyramidale
-39.211944,-8.211667,Cenostigma pyramidale
-39.351333,-8.659861,Cenostigma pyramidale
-39.212,-8.461667,Cenostigma pyramidale
-39.168778,-8.665472,Cenostigma pyramidale
-38.713056,-7.092778,Cenostigma pyramidale
-35.9667,-8.285,Cenostigma pyramidale
-38.019722,-9.416667,Cenostigma pyramidale
-38.011111,-9.25,Cenostigma pyramidale
-35.518056,-8.085833,Cenostigma pyramidale
-37.434444,-9.434722,Cenostigma pyramidale
-37.893889,-9.312222,Cenostigma pyramidale
-39.408333,-7.41,Cenostigma pyramidale
-39.408333,-7.976667,Cenostigma pyramidale
5,-5,Cenostigma pyramidale
-39.111112,-7.194445,Cenostigma pyramidale
-37.703611,-10.179333,Cenostigma pyramidale
-37.65,-10.918056,Cenostigma pyramidale
-36.886944,-7.887222,Cenostigma pyramidale
-40.306111,-3.616944,Cenostigma pyramidale
-38.555555,-6.638888,Cenostigma pyramidale
-38.343775,-6.388333,Cenostigma pyramidale
-40.182222,-3.37,Cenostigma pyramidale
-40.738889,-3.366944,Cenostigma pyramidale
-39.476111,-12.863333,Cenostigma pyramidale
-37.757778,-8.753333,Cenostigma pyramidale
-37.702306,-8.039389,Cenostigma pyramidale
-39.771944,-10.721389,Cenostigma pyramidale
-37.935278,-6.616944,Cenostigma pyramidale
-38.636139,-7.5555,Cenostigma pyramidale
-39.7075,-12.486667,Cenostigma pyramidale
-39.7025,-12.711111,Cenostigma pyramidale
-39.014444,-7.0125,Cenostigma pyramidale
-38.383342,-9.7080939999999991,Cenostigma pyramidale
-38.430556,-6.425278,Cenostigma pyramidale
-37.108797,-10.535186,Cenostigma pyramidale
-39.005977,-7.706038,Cenostigma pyramidale
-38.106758,-7.034716,Cenostigma pyramidale
-39.306563,-7.813466,Cenostigma pyramidale
-39.53508,-7.647983,Cenostigma pyramidale
-37.399333,-7.82225,Cenostigma pyramidale
-38.521083,-8.381083,Cenostigma pyramidale
-39.193611,-11.195556,Cenostigma pyramidale
-38.417778,-8.326667,Cenostigma pyramidale
-38.445,-7.146944,Cenostigma pyramidale
-38.508056,-7.069444,Cenostigma pyramidale
-38.493056,-7.326944,Cenostigma pyramidale
