Longitude,Latitude,sp
-39.351333,-8.659861,Cenostigma pyramidale
-39.21200000000001,-8.461667,Cenostigma pyramidale
-39.168777999999996,-8.665472,Cenostigma pyramidale
-38.713056,-7.092778,Cenostigma pyramidale
-35.9667,-8.285,Cenostigma pyramidale
-38.01972200000001,-9.416667,Cenostigma pyramidale
-38.01111100000001,-9.25,Cenostigma pyramidale
-35.518055999999994,-8.085833,Cenostigma pyramidale
-37.434444,-9.434722,Cenostigma pyramidale
-37.893889,-9.312222000000002,Cenostigma pyramidale
-39.408333000000006,-7.41,Cenostigma pyramidale
-39.408333000000006,-7.976666999999998,Cenostigma pyramidale
-39.111112,-7.194444999999999,Cenostigma pyramidale
-37.70361100000001,-10.179333000000002,Cenostigma pyramidale
-37.650000000000006,-10.918056000000002,Cenostigma pyramidale
-36.886944,-7.887222000000002,Cenostigma pyramidale
-40.306111,-3.6169439999999993,Cenostigma pyramidale
-38.555555,-6.638887999999998,Cenostigma pyramidale
-38.343775,-6.388333,Cenostigma pyramidale
-40.182222,-3.37,Cenostigma pyramidale
-40.738889,-3.366944,Cenostigma pyramidale
-37.75777800000001,-8.753333,Cenostigma pyramidale
-37.702306,-8.039389000000002,Cenostigma pyramidale
-39.771944,-10.721389,Cenostigma pyramidale
-37.935278,-6.616944,Cenostigma pyramidale
-38.636139,-7.555500000000001,Cenostigma pyramidale
-39.7075,-12.486667,Cenostigma pyramidale
-39.7025,-12.711110999999999,Cenostigma pyramidale
-39.01444399999999,-7.012500000000001,Cenostigma pyramidale
-38.383342,-9.7080939999999991,Cenostigma pyramidale
-38.430556,-6.425278,Cenostigma pyramidale
-39.005977,-7.706038000000002,Cenostigma pyramidale
-38.106758,-7.034716,Cenostigma pyramidale
-39.306563,-7.813466,Cenostigma pyramidale
-39.53508,-7.647982999999998,Cenostigma pyramidale
-37.399333,-7.82225,Cenostigma pyramidale
-38.521083000000004,-8.381083,Cenostigma pyramidale
-39.193611,-11.195556,Cenostigma pyramidale
-38.417778,-8.326666999999999,Cenostigma pyramidale
-38.44499999999999,-7.146944,Cenostigma pyramidale
-38.508056,-7.069444,Cenostigma pyramidale
-38.49305600000001,-7.326944000000002,Cenostigma pyramidale
-39.33797199999999,-8.076861000000001,Cenostigma pyramidale
-39.183333,-11.500000000000002,Cenostigma pyramidale
-37.863778,-9.979443999999999,Cenostigma pyramidale
-37.515,-9.584722000000001,Cenostigma pyramidale
-38.889305,-7.6518880000000005,Cenostigma pyramidale
-37.34444400000001,-5.191944,Cenostigma pyramidale
-37.106111,-8.290556,Cenostigma pyramidale
-38.112778,-8.588889,Cenostigma pyramidale
-37.43757500000001,-8.107002000000001,Cenostigma pyramidale
-38.708056,-6.700833,Cenostigma pyramidale
-37.533333000000006,-8.110556,Cenostigma pyramidale
-38.91372500000001,-6.714408,Cenostigma pyramidale
-38.963889,-6.858611000000001,Cenostigma pyramidale
-38.873333,-6.604444,Cenostigma pyramidale
-37.893055,-7.244722000000002,Cenostigma pyramidale
-39.516667,-12.766667,Cenostigma pyramidale
-37.684167,-9.805278,Cenostigma pyramidale
-38.567075,-9.4371,Cenostigma pyramidale
-38.55694,-10.175560000000003,Cenostigma pyramidale
-38.395386,-8.794227,Cenostigma pyramidale
-38.542500000000004,-7.175277999999998,Cenostigma pyramidale
-37.11099399999999,-10.265468999999998,Cenostigma pyramidale
-37.534167,-10.549443999999998,Cenostigma pyramidale
-37.32027800000001,-10.325833,Cenostigma pyramidale
-37.819967,-6.670133,Cenostigma pyramidale
-38.191472,-8.666805,Cenostigma pyramidale
-39.56,-9.140556,Cenostigma pyramidale
-38.653056,-7.232778000000001,Cenostigma pyramidale
-38.568916,-6.9968330000000005,Cenostigma pyramidale
-39.05722200000001,-9.231110999999999,Cenostigma pyramidale
-39.796389000000005,-12.744167,Cenostigma pyramidale
-39.057222,-9.064444,Cenostigma pyramidale
-36.245278000000006,-7.361667,Cenostigma pyramidale
-38.17444400000001,-6.961389,Cenostigma pyramidale
-38.05877699999999,-9.143527,Cenostigma pyramidale
-39.90788799999999,-7.962361,Cenostigma pyramidale
-38.737972,-8.805972,Cenostigma pyramidale
-39.767222,-7.987222000000002,Cenostigma pyramidale
-37.950722,-8.516694,Cenostigma pyramidale
-37.620216,-8.829722000000002,Cenostigma pyramidale
-40.040833,-8.372139,Cenostigma pyramidale
-39.751667,-8.250833,Cenostigma pyramidale
-38.599167,-7.1,Cenostigma pyramidale
-37.582222,-8.949167,Cenostigma pyramidale
-39.600833,-8.561583,Cenostigma pyramidale
-38.459711,-8.450869,Cenostigma pyramidale
-39.353944,-8.257361,Cenostigma pyramidale
-37.529758,-7.802261000000001,Cenostigma pyramidale
-37.024167,-8.115278,Cenostigma pyramidale
-38.770630000000004,-7.641580000000001,Cenostigma pyramidale
-39.06525,-8.061166,Cenostigma pyramidale
-40.298694,-7.880888,Cenostigma pyramidale
-37.725008,-8.56108,Cenostigma pyramidale
-38.069838,-8.002988,Cenostigma pyramidale
-37.059919,-8.206063,Cenostigma pyramidale
-37.164167,-9.550278,Cenostigma pyramidale
-38.16250000000001,-8.139722000000003,Cenostigma pyramidale
-38.081389,-8.190000000000001,Cenostigma pyramidale
-37.304167,-8.377500000000001,Cenostigma pyramidale
-40.045,-8.043333000000002,Cenostigma pyramidale
-37.535833,-8.536666999999998,Cenostigma pyramidale
-39.304883,-8.175127,Cenostigma pyramidale
-40.262786,-8.506947,Cenostigma pyramidale
-37.421611,-10.107056,Cenostigma pyramidale
-39.266667,-11.766667000000002,Cenostigma pyramidale
-40.233056,-8.177222,Cenostigma pyramidale
-40.2725,-8.406389,Cenostigma pyramidale
-38.331111,-8.727499999999997,Cenostigma pyramidale
-37.639058,-8.232437999999998,Cenostigma pyramidale
-37.873283,-8.364102,Cenostigma pyramidale
-39.21666700000001,-10.316667,Cenostigma pyramidale
-37.783694,-8.335916999999998,Cenostigma pyramidale
-39.21666700000001,-10.216666999999998,Cenostigma pyramidale
-39.079722000000004,-7.925556,Cenostigma pyramidale
-37.353889,-8.061667000000002,Cenostigma pyramidale
